Date,Close,High,Low,Open,Volume,Retorno_Log,Volatilidad_20,SMA_20,SMA_50,Distancia_SMA50
2015-03-16,110.80999755859376,111.20999908447266,110.41999816894533,111.08999633789062,3265300,-0.0006315097549611,0.0073640444466446,114.09300003051756,117.70120040893556,-0.0585482801058894
2015-03-17,110.20999908447266,111.3499984741211,109.7699966430664,109.91999816894533,8923300,-0.0054293725195363,0.0066543016572942,113.8029998779297,117.6238003540039,-0.0630297715871997
2015-03-18,112.37000274658205,112.87000274658205,110.08999633789062,110.33000183105467,12448000,0.0194093939657839,0.0082117518385627,113.60450019836426,117.5552003479004,-0.0441086194908684
2015-03-19,112.29000091552734,112.58000183105467,111.58000183105467,111.8499984741211,6537700,-0.0007122036244303,0.0082045621662496,113.42200012207032,117.4586003112793,-0.0440035840888155
2015-03-20,113.56999969482422,114.0,112.66999816894533,112.70999908447266,8033400,0.0113345654787513,0.0086293792102262,113.33650016784668,117.40140029907226,-0.0326350503016813
2015-03-23,114.29000091552734,114.37000274658205,113.48999786376952,113.6999969482422,4240300,0.0063197017036317,0.0087640016074399,113.27950019836426,117.3684002685547,-0.0262285193117019
2015-03-24,114.56999969482422,114.6500015258789,113.81999969482422,114.3499984741211,2979300,0.0024469013218018,0.008784809627774,113.24500007629396,117.31460021972656,-0.0233952169615869
2015-03-25,114.7300033569336,115.13999938964844,114.6500015258789,115.11000061035156,3021400,0.0013955838286018,0.0087418348806267,113.19650039672852,117.23800033569336,-0.0213923554784156
2015-03-26,115.4800033569336,115.83999633789062,115.33999633789062,115.7300033569336,5495200,0.0065158127936534,0.0088451024850388,113.16700057983398,117.18440032958983,-0.0145445722115103
2015-03-27,115.05999755859376,115.36000061035156,114.4499969482422,115.13999938964844,4921700,-0.0036436736475294,0.0088731656755436,113.1120002746582,117.12620025634766,-0.0176408241130653
2015-03-30,113.75,114.01000213623048,113.54000091552734,113.9000015258789,4383900,-0.0114506523855384,0.0091774106479622,113.01550025939942,116.98240020751952,-0.0276315086866524
2015-03-31,113.66000366210938,114.27999877929688,113.41000366210938,113.83999633789062,4383300,-0.0007914897422241,0.0091745363947594,112.92500038146972,116.8052003479004,-0.0269268549381633
2015-04-01,115.5999984741211,115.98999786376952,114.54000091552734,114.55999755859376,7324000,0.0169243749497968,0.0099671376995425,112.9495002746582,116.63320037841795,-0.0088585574342866
2015-04-02,115.27999877929688,115.72000122070312,114.68000030517578,115.47000122070312,3884100,-0.0027720019363937,0.0099865943059372,112.96350021362304,116.45420028686524,-0.0100829468123597
2015-04-06,116.69000244140624,117.47000122070312,116.5199966430664,117.31999969482422,5914200,0.0121569256379316,0.0079048309802013,113.2050003051758,116.28340026855469,0.0034966484632587
2015-04-07,116.11000061035156,116.51000213623048,115.94000244140624,116.2699966430664,2468500,-0.004982843844589,0.0080607648928375,113.4120002746582,116.12100021362303,-9.472535761189242e-05
2015-04-08,115.47000122070312,116.02999877929688,114.9000015258789,115.9800033569336,5568500,-0.0055272563602129,0.0080883846470177,113.6145004272461,115.97060028076172,-0.0043166031636177
2015-04-09,114.66999816894533,114.8499984741211,114.4800033569336,114.8000030517578,4707000,-0.0069523444531915,0.0081376968607579,113.81050033569336,115.77600021362304,-0.0095529474384759
2015-04-10,115.97000122070312,116.19000244140624,115.5,116.0,3932400,0.0112731254124599,0.0083930209334157,114.07300033569337,115.6270002746582,0.0029664433499975
2015-04-13,115.13999938964844,115.38999938964844,114.8000030517578,115.3499984741211,3190100,-0.0071827735479249,0.0086577149814019,114.28600044250489,115.51460021972656,-0.003242887300528
2015-04-14,114.44000244140624,115.06999969482422,114.38999938964844,114.69000244140624,3651500,-0.0060980844312983,0.0088260002652515,114.46750068664552,115.33440032958984,-0.0077548232411812
2015-04-15,115.43000030517578,115.5999984741211,114.47000122070312,114.8000030517578,3656000,0.0086135987552241,0.008794907025339,114.72850074768068,115.19460037231444,0.0020434979773401
2015-04-16,115.02999877929688,115.66000366210938,114.63999938964844,115.5500030517578,3132300,-0.0034713349747602,0.0078963381844272,114.8615005493164,115.07420028686523,-0.0003841130979678
2015-04-17,115.5999984741211,115.79000091552734,115.2300033569336,115.37999725341795,3496300,0.004942989742755,0.0079265940763847,115.0270004272461,114.95460021972656,0.0056143751808184
2015-04-20,114.72000122070312,114.9499969482422,114.31999969482422,114.81999969482422,3932800,-0.0076415555466046,0.0078164168751982,115.08450050354004,114.81320022583007,-0.0008117446856601
2015-04-21,115.37999725341795,115.55999755859376,114.6500015258789,114.72000122070312,3317700,0.0057366175320521,0.0077946394933457,115.13900032043458,114.74800018310548,0.0055076957271934
2015-04-22,113.83000183105467,114.95999908447266,113.7699966430664,114.83000183105467,5696000,-0.0135248816010839,0.008378268200329,115.1020004272461,114.64120025634766,-0.007075976380909
2015-04-23,114.66000366210938,114.95999908447266,113.80999755859376,113.9000015258789,3459500,0.0072651359960974,0.0085428564717927,115.09850044250489,114.5650003051758,0.0008292528842187
2015-04-24,113.0500030517578,114.06999969482422,112.7699966430664,113.95999908447266,7152900,-0.0141410337003533,0.0089488152060379,114.9770004272461,114.48460037231445,-0.0125309195812467
2015-04-27,115.33000183105467,115.81999969482422,113.66999816894533,113.87000274658205,7487600,0.0199673743957626,0.0100768211639692,114.99050064086914,114.44440048217774,0.0077382671860371
2015-04-28,116.33000183105467,116.62000274658205,115.33999633789062,115.36000061035156,8054400,0.0086333954543481,0.009861798488406,115.11950073242188,114.41140045166016,0.016769319943821
2015-04-29,115.51000213623048,116.38999938964844,115.27999877929688,116.05999755859376,7170500,-0.0070738707743613,0.0100246437928701,115.21200065612793,114.40140045166017,0.009690455538075
2015-04-30,113.47000122070312,113.87999725341795,112.95999908447266,113.87999725341795,9440300,-0.0178186292336544,0.0100947770707694,115.10550079345704,114.3440005493164,-0.0076435958547411
2015-05-01,113.08000183105467,113.30999755859376,112.27999877929688,112.41999816894533,7597000,-0.0034429465428856,0.0101023331077598,114.99550094604491,114.28680053710936,-0.0105593883141635
2015-05-04,114.0999984741211,114.44000244140624,113.87999725341795,114.18000030517578,3648100,0.0089796944769087,0.0099082710495808,114.86600074768066,114.26320053100586,-0.0014282993660805
2015-05-05,114.41999816894533,115.11000061035156,114.38999938964844,114.88999938964844,3856500,0.0028006293425995,0.0099015124536063,114.78150062561036,114.24300048828124,0.0015493087533378
2015-05-06,114.36000061035156,114.75,114.0199966430664,114.58999633789062,3280700,-0.0005245000462394,0.0098370066686377,114.72600059509276,114.22500045776368,0.0011818792037371
2015-05-07,113.41999816894533,114.01000213623048,113.31999969482422,113.83999633789062,5455100,-0.0082536463493555,0.0098862297650272,114.66350059509276,114.17940048217774,-0.0066509572657193
2015-05-08,113.97000122070312,114.43000030517578,113.58999633789062,114.33999633789062,9964100,0.0048375401365222,0.0095812508559791,114.56350059509278,114.13740051269532,-0.0014666471396776
2015-05-11,113.52999877929688,114.30999755859376,113.08000183105467,114.08999633789062,2916700,-0.003868158154194,0.009494580912276,114.4830005645752,114.08480041503908,-0.0048630635608234
2015-05-12,114.5,114.66999816894533,114.05999755859376,114.0999984741211,3256700,0.0085077145701036,0.0096187584551987,114.48600044250487,114.06120040893556,0.0038470539455244
2015-05-13,116.5500030517578,116.93000030517578,115.68000030517578,115.73999786376952,11768200,0.0177455686715796,0.0102442605581643,114.54200057983398,114.08280044555664,0.0216264204294193
2015-05-14,117.18000030517578,117.75,117.02999877929688,117.27999877929688,6923000,0.0053908250551019,0.0102558818917687,114.64950065612793,114.12420043945312,0.0267760900313502
2015-05-15,117.52999877929688,117.62999725341795,116.68000030517578,116.8000030517578,4447300,0.0029823930374759,0.0102247871229085,114.74600067138672,114.17480041503906,0.029386505183817
2015-05-18,117.5199966430664,117.87999725341795,117.2699966430664,117.77999877929688,5079900,-8.510645761585739e-05,0.0100331721428223,114.88600044250488,114.28800033569335,0.0282794020184082
2015-05-19,115.88999938964844,116.7300033569336,115.6500015258789,116.5500030517578,5052100,-0.0139670432211819,0.0105204006345268,114.9115005493164,114.36640029907228,0.0133220866145292
2015-05-20,116.08000183105467,116.37999725341795,115.76000213623048,116.02999877929688,4432600,0.0016381642703537,0.0100117705183351,115.0240005493164,114.45960037231444,0.0141569728836145
2015-05-21,115.69000244140624,116.0,115.47000122070312,115.52999877929688,2514700,-0.0033654032062089,0.0099424037010261,115.07550048828124,114.55840042114258,0.0098779488549388
2015-05-22,115.5999984741211,115.93000030517578,115.31999969482422,115.51000213623048,1780200,-0.0007782781051662,0.0093412917380914,115.20300025939942,114.65600036621092,0.0082333075015266
2015-05-26,113.91000366210938,114.2300033569336,113.6999969482422,113.83999633789062,5769600,-0.0147272479776649,0.008865467277613,115.13200035095215,114.71660049438476,-0.0070312128218519
2015-05-27,113.88999938964844,114.01000213623048,113.62999725341795,113.77999877929688,2681100,-0.0001756301338399,0.0085963139440771,115.01000022888184,114.77820053100588,-0.0077384131938668
2015-05-28,114.0199966430664,114.16000366210938,113.20999908447266,113.8499984741211,5266000,0.0011407772346871,0.0084894259672748,114.93549995422364,114.85440048217774,-0.0072648835012708
2015-05-29,114.0999984741211,114.4800033569336,114.0,114.13999938964844,3407500,0.0007014013330434,0.0074664887485006,114.96699981689451,114.88900039672852,-0.0068675149046722
2015-06-01,114.0,115.5,113.9000015258789,115.0199966430664,8254000,-0.0008767951003625,0.0074211130145439,115.0129997253418,114.92320037841796,-0.0080331941277137
2015-06-02,114.45999908447266,114.6500015258789,114.16999816894533,114.36000061035156,3988600,0.0040269605877943,0.0071992456460837,115.03099975585936,114.94100036621094,-0.0041847667951886
2015-06-03,113.63999938964844,114.37000274658205,113.08000183105467,114.12999725341795,4885200,-0.0071898573672245,0.0073511933196537,114.99199981689452,114.92800033569335,-0.0112070247657907
2015-06-04,112.83999633789062,113.1500015258789,112.4800033569336,112.9800033569336,5566600,-0.0070646979352704,0.0075036246083242,114.91599960327147,114.89340026855469,-0.0178722531134458
2015-06-05,112.23999786376952,112.38999938964844,111.56999969482422,111.5999984741211,5561300,-0.0053314369182916,0.0073755210594159,114.8569995880127,114.8436001586914,-0.0226708522836641
2015-06-08,112.56999969482422,112.66000366210938,112.12999725341795,112.38999938964844,3122100,0.0029358308942225,0.0073147850427349,114.78699951171876,114.78540008544924,-0.0193003673722947
2015-06-09,112.81999969482422,113.2300033569336,112.70999908447266,113.1500015258789,3529900,0.0022183779511247,0.0072990437423087,114.75149955749512,114.74060012817382,-0.0167386298416092
2015-06-10,113.77999877929688,114.13999938964844,113.69000244140624,114.13999938964844,5452900,0.008473122987024,0.0072968471801485,114.71549949645996,114.74120010375977,-0.0083771245515445
