Date,Close,High,Low,Open,Volume,Retorno_Log,Volatilidad_20,SMA_20,SMA_50,Distancia_SMA50
2015-03-16,290.5929870605469,294.11199951171875,285.68499755859375,285.68499755859375,21516100,0.0145586060234158,0.0269669668218399,274.4238510131836,250.22114135742189,0.1613446629014327
2015-03-17,285.5050048828125,292.364990234375,284.3739929199219,290.5950012207031,21497200,-0.017664059044773,0.0274687198159952,276.8256011962891,250.46178161621097,0.1399144533767598
2015-03-18,256.29901123046875,285.33599853515625,249.8699951171875,285.0669860839844,57008000,-0.1079147836774018,0.0379288702339258,277.81925201416016,250.31826171875,0.0238925816704437
2015-03-19,260.9280090332031,264.2439880371094,248.6360015869141,255.8800048828125,52732000,0.0178997663137794,0.03471489906109,278.17425231933595,250.8585220336914,0.0401401033454201
2015-03-20,261.7489929199219,264.8479919433594,259.1619873046875,260.95599365234375,18456700,0.0031414604385734,0.0347170912612872,278.54855194091795,251.42324188232425,0.0410691985366671
2015-03-23,266.739990234375,277.2969970703125,261.7449951171875,267.8949890136719,22811900,-0.0045633191680478,0.0319747124315318,277.4061004638672,253.9005212402344,0.050568895768403
2015-03-24,245.59500122070312,267.00299072265625,244.15499877929688,266.5769958496094,40073700,-0.082590521853266,0.0361784412087123,276.03125,254.04784118652344,-0.0332726305657295
2015-03-25,246.1970062255859,249.19000244140625,236.51499938964844,247.4720001220703,35866900,0.0024482110178939,0.0360199566698572,274.53219985961914,254.42642120361327,-0.0323449700667742
2015-03-26,248.5319976806641,254.35400390625,244.90499877929688,246.2760009765625,25730000,0.0094395468020221,0.0361362954606324,273.32265014648436,254.8600012207031,-0.0248293318281793
2015-03-27,247.0290069580078,256.8110046386719,245.21299743652344,248.5659942626953,17274900,-0.0060658337401339,0.0359000302513418,271.86105117797854,255.4583615112305,-0.0329969804212185
2015-03-30,247.5260009765625,249.24200439453125,239.21400451660156,242.8789978027344,23009600,0.0196359661345092,0.0350239347313758,266.22685089111326,256.85046142578125,-0.036303070656204
2015-03-31,244.2239990234375,248.72999572753903,242.7389984130859,247.45399475097656,22672000,-0.0134297979945927,0.0345794033676957,263.6191009521484,257.33274139404296,-0.0509408258723384
2015-04-01,247.27200317382812,247.54100036621097,241.16000366210935,244.22300720214844,22877200,0.0124031251991711,0.0349285140902291,261.26500091552737,257.8814013671875,-0.0411406101297435
2015-04-02,253.0050048828125,254.46099853515625,245.41600036621097,247.08900451660156,26272600,0.0229203125311114,0.0351935798435006,259.6484008789063,258.55780151367185,-0.0214760359128662
2015-04-06,255.49200439453125,261.7980041503906,254.5749969482422,260.72100830078125,20034200,-0.0197878439490129,0.0354375088022027,253.63505096435543,260.05324127197264,-0.0175396270976337
2015-04-07,253.17999267578125,255.80499267578125,252.2050018310547,255.2740020751953,18467400,-0.0090904459194428,0.0260635592536951,253.4791000366211,260.4399810791016,-0.0278758598170659
2015-04-08,245.02200317382812,253.8470001220703,244.21499633789065,253.06399536132812,30086400,-0.0327526538948628,0.0266249835745127,252.68379974365232,260.4682211303711,-0.0593017370392057
2015-04-09,243.67599487304688,246.1179962158203,239.3999938964844,244.75100708007812,21643500,-0.0055085623832895,0.0265877236795244,251.7801498413086,260.61522094726564,-0.0649970712096142
2015-04-10,236.0720062255859,243.69400024414065,232.77099609375,243.69400024414065,28882000,-0.0317025833875895,0.0273203136548129,250.58250045776367,260.5310009765625,-0.0938813218361561
2015-04-13,224.5870056152344,236.93499755859375,221.9960021972656,235.9499969482422,31181800,-0.0502167145795621,0.0218027500281249,246.4323516845703,259.99104095458983,-0.1361740589574358
2015-04-14,219.15899658203125,224.9759979248047,216.322998046875,224.75900268554688,31719000,-0.0244657067673963,0.0221805170146841,245.08045120239257,259.5963809204102,-0.1557702160369356
