Date,Close,High,Low,Open,Volume,Retorno_Log,Volatilidad_20,SMA_20,SMA_50,Distancia_SMA50
2015-03-16,77.39038848876953,77.4399562563664,76.68657005417496,77.28134545044,19305400,0.000256053429308,0.0143437956097315,78.25975875854492,76.6782470703125,0.0092873982604742
2015-03-17,78.66917419433594,79.0855162918655,77.65804902835742,77.67787916422887,22170000,0.0163887980481398,0.0146941087173935,78.44612274169921,76.69628875732423,0.0257233494472482
2015-03-18,80.2056655883789,80.53278712325103,78.48080719769742,78.56011259650603,36912400,0.0193427644227518,0.0149381758666415,78.65429420471192,76.77004074096679,0.0447521561048066
2015-03-19,82.02964782714844,82.27747153659601,80.2948818610154,80.41383996422282,42099500,0.0224865851612881,0.0137608208484769,78.81934394836426,76.90089172363281,0.0666930641317841
2015-03-20,83.07051849365234,83.86354990305719,82.34686986412753,82.6640839404855,44466300,0.012609126693675,0.0139384340494778,79.01264686584473,77.05256011962891,0.0781019912210597
2015-03-23,83.69502258300781,84.22040763147263,82.5748621506768,83.18946010338082,27357300,0.0074896409006647,0.0134711905100893,79.28971290588379,77.17647201538085,0.084462925000353
2015-03-24,84.56736755371094,85.32075381365149,83.78424365612457,83.97259211185474,32576500,0.0103689575055733,0.0134049507902131,79.62972679138184,77.32655410766601,0.0936394170101404
2015-03-25,82.19816589355469,84.77553095165999,82.19816589355469,84.75570838267322,37436100,-0.0284154768024498,0.0150263364611477,79.79626426696777,77.44947463989257,0.0613134082024639
2015-03-26,82.28739929199219,83.04077803954475,81.42496992744842,81.99992283714427,32794800,0.0010849998550427,0.0148911530553103,79.92513275146484,77.57953262329102,0.0606843907085845
2015-03-27,82.57486724853516,83.21920287576444,82.15851764744356,82.65416509176136,18372600,0.0034873746906276,0.0141550648863618,80.13974876403809,77.71871047973633,0.0624837537682123
2015-03-30,82.47572326660156,83.60579871892675,81.69260704016594,83.08041369180808,24527700,-0.0012013770268709,0.0140760774617484,80.31074600219726,77.90011703491211,0.0587368338566015
2015-03-31,81.5042724609375,82.77312879405089,81.49435739374684,82.17835333327652,19734300,-0.0118485448951454,0.0143978541089124,80.44060592651367,78.03969146728515,0.0443951139287208
2015-04-01,80.95905303955078,81.99991571452112,80.16602165369807,81.78182962544315,22058200,-0.006711932881493,0.014084774766216,80.47877082824706,78.14734619140626,0.0359795563787644
2015-04-02,80.85000610351562,81.84130096035315,80.73105556100204,81.53400197488698,19664100,-0.0013478473099267,0.0140674876684537,80.49611930847168,78.2429067993164,0.0333205834349447
2015-04-06,81.72234344482422,82.08911767025192,80.09662062336496,80.09662062336496,19062900,0.0107317845385258,0.0137835178805604,80.61656112670899,78.3378727722168,0.0432035049311136
2015-04-07,81.6033935546875,82.69381640121362,81.50426558009052,81.93052267753924,17467000,-0.0014565972681716,0.0136537530285679,80.75930709838867,78.42689086914062,0.0405027236238019
2015-04-08,81.5637435913086,82.37660511106864,81.12757141285884,81.91069529553911,18966700,-0.000486004288031,0.0122488278721567,80.99374885559082,78.5216584777832,0.0387419875292892
2015-04-09,81.45469665527344,82.07921725603241,80.99870192821521,81.78182577348247,15927300,-0.0013378480635061,0.0122725326920983,81.22174644470215,78.64834579467774,0.035682261746764
2015-04-10,81.3258285522461,81.89086630137822,81.19696294734906,81.49434685779899,12529700,-0.0015833359646093,0.0118174181760498,81.37589263916016,78.76333602905274,0.0325340780670863
2015-04-13,82.28739929199219,83.20930393582152,81.2068838194272,81.21679888696832,26883100,0.011754328468601,0.0115865515182229,81.62173385620117,78.86266403198242,0.0434265732973575
2015-04-14,82.79293823242188,82.96146409600945,81.7223455980429,82.44598656558706,19634200,0.0061247817682558,0.0115855684946447,81.8918613433838,79.01353897094727,0.0478322995109011
2015-04-15,81.98999786376953,82.931732528903,81.55382570042435,82.82268948806671,22390900,-0.0097455081527043,0.0115139947831582,82.05790252685547,79.16659484863281,0.0356640704394964
2015-04-16,81.59347534179688,82.34686153304405,81.43487210115396,81.75208614541917,13769700,-0.004847962826758,0.0108554831038828,82.12729301452637,79.30359161376953,0.0288749056811918
2015-04-17,80.07679748535156,81.39522146269641,79.670370525985,80.77070842431286,24215000,-0.018763156960937,0.0104405226922303,82.02965049743652,79.40569473266602,0.0084515695624216
2015-04-20,82.3666763305664,82.42615915780216,80.53278257384606,80.8301740210888,28796800,0.0281947988886247,0.0119922118757776,81.99445838928223,79.55399200439453,0.0353556654456322
2015-04-21,82.89208221435547,83.75450393656645,82.8127768072846,83.26877155347222,27171900,0.0063586058454727,0.0119555328832362,81.95431137084961,79.73539916992188,0.0395894806735271
2015-04-22,83.89328002929688,84.00232306731073,82.92181531623818,83.58598104742843,45548000,0.0120059677632434,0.0120390431239266,81.92060699462891,79.93742477416993,0.0494868988624862
