fecha,activo,modelo,particion,senal,retorno_futuro,precio_cierre
2023-06-20,BTC_USD,Regresion Logistica,validacion,1,0.0582742132068211,28327.48828125
2023-06-21,BTC_USD,Regresion Logistica,validacion,1,-0.0038377235796951,30027.296875
2023-06-22,BTC_USD,Regresion Logistica,validacion,1,0.0258459057681537,29912.28125
2023-06-23,BTC_USD,Regresion Logistica,validacion,1,-0.0068848359381765,30695.46875
2023-06-26,BTC_USD,Regresion Logistica,validacion,1,0.0136825634152429,30271.130859375
2023-06-27,BTC_USD,Regresion Logistica,validacion,1,-0.0198089179130376,30688.1640625
2023-06-28,BTC_USD,Regresion Logistica,validacion,1,0.011865197537731,30086.24609375
2023-06-29,BTC_USD,Regresion Logistica,validacion,1,0.0010472432791648,30445.3515625
2023-06-30,BTC_USD,Regresion Logistica,validacion,1,0.0173424263179603,30477.251953125
2023-07-03,BTC_USD,Regresion Logistica,validacion,1,-0.0085955335212928,31156.439453125
2023-07-05,BTC_USD,Regresion Logistica,validacion,1,-0.0200202996399463,30514.166015625
2023-07-06,BTC_USD,Regresion Logistica,validacion,1,0.014370909980298,29909.337890625
2023-07-07,BTC_USD,Regresion Logistica,validacion,1,0.008029538805166,30342.265625
2023-07-10,BTC_USD,Regresion Logistica,validacion,1,0.0067659483655845,30414.470703125
2023-07-11,BTC_USD,Regresion Logistica,validacion,1,-0.0075166695389679,30620.951171875
2023-07-12,BTC_USD,Regresion Logistica,validacion,1,0.0350591179994657,30391.646484375
2023-07-13,BTC_USD,Regresion Logistica,validacion,1,-0.036955452769762,31476.048828125
2023-07-14,BTC_USD,Regresion Logistica,validacion,1,-0.0034189652941136,30334.068359375
2023-07-17,BTC_USD,Regresion Logistica,validacion,0,-0.0096438864949102,30145.888671875
2023-07-18,BTC_USD,Regresion Logistica,validacion,0,0.0019193869502834,29856.5625
2023-07-19,BTC_USD,Regresion Logistica,validacion,0,-0.0040836263076462,29913.923828125
2023-07-20,BTC_USD,Regresion Logistica,validacion,0,0.0039104582531672,29792.015625
2023-07-21,BTC_USD,Regresion Logistica,validacion,0,-0.0306335381648588,29908.744140625
2023-07-24,BTC_USD,Regresion Logistica,validacion,0,0.0017284554802405,29176.916015625
2023-07-25,BTC_USD,Regresion Logistica,validacion,0,0.0043556533334645,29227.390625
2023-07-26,BTC_USD,Regresion Logistica,validacion,0,-0.0049272385842934,29354.97265625
