activo,modelo,particion,n_periodos,retorno_total,cagr,volatilidad_anual,ratio_sharpe,ratio_sortino,caida_maxima,ratio_calmar,exposicion,n_operaciones,aciertos
BTC_USD,Comprar y mantener,prueba,427,-0.27255128817373786,-0.1712171638976131,0.40269050310548404,-0.2646871022958526,-0.2656845286174338,-0.5350818855532018,-0.3199831063624923,1.0,1.0,0.4894613583138173
BTC_USD,MLP,prueba,427,-0.24076937940266463,-0.15003531597041608,0.2697666199827306,-0.4674747909965106,-0.4468817819162092,-0.39591287043622736,-0.37896044098062076,0.4637002341920375,180.0,0.4444444444444444
BTC_USD,Random Forest,prueba,427,-0.30358360646766425,-0.19226864403107757,0.2590582130515924,-0.6931251777725385,-0.4688728961410815,-0.4282007632476368,-0.44901518290822123,0.33489461358313816,60.0,0.4405594405594406
BTC_USD,Regresion Logistica,prueba,427,-0.019788003409722865,-0.011725965640420055,0.2160084686948248,0.05187499990334176,0.03837675627246565,-0.27544177892848176,-0.04257148529186886,0.3325526932084309,54.0,0.4859154929577465
BTC_USD,SVM,prueba,427,-0.407323950384766,-0.26561295058618595,0.2637543914079218,-1.0359974406815242,-0.6733178068315853,-0.5106508258433182,-0.5201459336671734,0.33021077283372363,72.0,0.45390070921985815
BTC_USD,Comprar y mantener,validacion,427,2.048153426264316,0.9304611940883278,0.45838979855200457,1.6624438370202923,1.9793254753778011,-0.3131550485751936,2.971247624209734,1.0,1.0,0.5011709601873536
BTC_USD,MLP,validacion,427,1.399136679569331,0.6760800180773496,0.329479318690868,1.7300342567591673,2.213426422393391,-0.13868976281585466,4.874765118569097,0.49414519906323184,188.0,0.5165876777251185
BTC_USD,Random Forest,validacion,427,1.1901855124685037,0.5883256472240923,0.3377286127462264,1.535934629813382,1.510964075536102,-0.15863583221045652,3.7086554722616616,0.38173302107728335,85.0,0.5153374233128835
BTC_USD,Regresion Logistica,validacion,427,0.8704772184036722,0.44709323071752594,0.3440388764046413,1.2443466316951457,1.225058245201245,-0.3227928828319695,1.3850777216493377,0.5081967213114754,77.0,0.4976958525345622
BTC_USD,SVM,validacion,427,0.8692971069739954,0.4465543459193295,0.30551496160939345,1.358540886356482,1.307239374821181,-0.19893118092452677,2.244767983802144,0.3372365339578454,103.0,0.5208333333333334
GLD,Comprar y mantener,prueba,427,0.6156284799892238,0.3272588794359965,0.24822592676610677,1.2661226692287135,1.1425090918057415,-0.2640451785702955,1.2394048670306317,1.0,1.0,0.5784543325526932
GLD,MLP,prueba,427,-0.03447613850556852,-0.020492696128389887,0.1865556442359172,-0.016750447109821976,-0.015448623996285275,-0.1938759365447026,-0.10570004969990085,0.522248243559719,212.0,0.5381165919282511
GLD,Random Forest,prueba,427,0.3939509403436554,0.2165491671431532,0.14111125209414135,1.4597489115602127,1.4034445209719977,-0.2067251512209668,1.0475221126416572,0.4332552693208431,156.0,0.5891891891891892
GLD,Regresion Logistica,prueba,427,0.4310940669705927,0.235576803382739,0.15961092753621162,1.4053414026484137,1.2966499441062276,-0.13546646061145484,1.739004638634657,0.45433255269320844,156.0,0.6134020618556701
GLD,SVM,prueba,427,0.6859629846428956,0.3610608096975729,0.14785998801311595,2.159793407491218,2.0685546624433124,-0.10755544281714513,3.3569738568359755,0.4637002341920375,154.0,0.6212121212121212
GLD,Comprar y mantener,validacion,427,0.4158166867792372,0.2277753249254868,0.14132615233850537,1.523048823901839,1.59087123231671,-0.11347406182164854,2.0072897829592975,1.0,1.0,0.531615925058548
GLD,MLP,validacion,427,0.16757728520255455,0.09574514853842753,0.10935495369421525,0.8908569222740197,0.9231306989942286,-0.10997429776986045,0.8706138659670299,0.5550351288056206,194.0,0.540084388185654
GLD,Random Forest,validacion,427,0.26613279083599073,0.1494221479476867,0.09796232279190219,1.470772097018845,1.460686521926987,-0.06690485208511188,2.233352937655431,0.5269320843091335,146.0,0.56
GLD,Regresion Logistica,validacion,427,0.11580650562929296,0.06680550006070374,0.10804944112415367,0.652527447065506,0.6433647162155134,-0.08637724256613633,0.7734155209869414,0.5971896955503513,151.0,0.5294117647058824
GLD,SVM,validacion,427,0.1980636404334346,0.11254093528082154,0.09812966197624703,1.1359228729410877,1.0852533828701196,-0.08109064525040566,1.3878411613731554,0.4894613583138173,150.0,0.569377990430622
META,Comprar y mantener,prueba,427,0.0689733485382713,0.04014816309668978,0.39425997577079025,0.2952663332230938,0.3097324466717782,-0.3415081234450239,0.1175613706979736,1.0,1.0,0.5081967213114754
META,MLP,prueba,427,-0.05305461268340028,-0.03166009527470515,0.29345485516975084,0.03454552758999462,0.0364791211320077,-0.30875652055940783,-0.10254065312480884,0.5152224824355972,178.0,0.5136363636363637
META,Random Forest,prueba,427,-0.4312353028373671,-0.2832460780337339,0.30759220223195055,-0.9298476323459116,-0.8503758539444184,-0.47615120028316293,-0.5948658280506065,0.5597189695550351,95.0,0.45188284518828453
META,Regresion Logistica,prueba,427,0.0539954375490197,0.031522238457004415,0.30520888213368635,0.2517165475733042,0.24368027636664732,-0.2871624701187081,0.10977144208285175,0.6088992974238876,67.0,0.5
META,SVM,prueba,427,-0.31622788398124413,-0.20095607442170682,0.29032110293641056,-0.627445081679794,-0.56122467412826,-0.42309511393013066,-0.4749666630631249,0.5526932084309133,109.0,0.4703389830508475
META,Comprar y mantener,validacion,427,2.058989888162014,0.9345085225861802,0.35130724478030767,2.0512761501201346,2.4347241780995157,-0.18426447269972557,5.0715610496931784,1.0,1.0,0.5409836065573771
META,MLP,validacion,427,0.1890454444558909,0.10759099228066016,0.24188690516708117,0.5424721064409818,0.530592087202476,-0.2471183681601392,0.4353824164577615,0.4519906323185012,175.0,0.5129533678756477
META,Random Forest,validacion,427,0.387305837365191,0.21312321296540992,0.19081679756559783,1.1080051726355369,0.9076143589134726,-0.11653895110020462,1.8287723628313635,0.4028103044496487,93.0,0.5465116279069767
META,Regresion Logistica,validacion,427,0.5091158022570832,0.2748985087965041,0.190907425498842,1.367998293651359,1.133133379895707,-0.11653895110020451,2.3588551827631963,0.41217798594847777,89.0,0.5454545454545454
META,SVM,validacion,427,0.6155752916176742,0.32723309210298135,0.20871751516305584,1.4589871114392716,1.43973437880811,-0.10167333997369066,3.218474894083909,0.36065573770491804,127.0,0.5584415584415584
PEP,Comprar y mantener,prueba,427,-0.061197948800224666,-0.036583274777995944,0.22327232466140523,-0.05586957765526932,-0.05894934357922255,-0.20043389285696167,-0.18252040239573333,1.0,1.0,0.47540983606557374
PEP,MLP,prueba,427,-0.3027504098027144,-0.1916984643742814,0.16966395546668028,-1.1694244312129642,-1.14336736489942,-0.32407098908531984,-0.5915323210983626,0.5456674473067916,177.0,0.45064377682403434
PEP,Random Forest,prueba,427,-0.12339193257718872,-0.07477822114717536,0.1755862326728388,-0.3548042804150602,-0.3440918460441183,-0.177730679905178,-0.4207389584458388,0.6932084309133489,129.0,0.49324324324324326
PEP,Regresion Logistica,prueba,427,-0.06133599499686759,-0.036666883262254646,0.17082810480337896,-0.13334904472289097,-0.12650238832823202,-0.16456008830486357,-0.2228175959308291,0.6814988290398126,101.0,0.4948453608247423
PEP,SVM,prueba,427,-0.1428873764391262,-0.08697771362254492,0.18145073844303386,-0.4111592797494214,-0.420247134584591,-0.19629957679775278,-0.4430866079357774,0.667447306791569,119.0,0.45263157894736844
PEP,Comprar y mantener,validacion,427,-0.03684262847190167,-0.021910252449209078,0.15832005020261825,-0.06074369085235078,-0.05880227396070577,-0.18262212345329987,-0.1199758935823127,1.0,1.0,0.5058548009367682
PEP,MLP,validacion,427,-0.16261530381777511,-0.0994390187071027,0.12441354367865488,-0.779299215359633,-0.7205997788486328,-0.21450261252213987,-0.46357952258898066,0.5667447306791569,179.0,0.48760330578512395
PEP,Random Forest,validacion,427,-0.07236241651672637,-0.04336146641333127,0.13543555823665201,-0.2595677849588472,-0.256135627639972,-0.168822304595052,-0.25684678643228376,0.6487119437939111,149.0,0.48736462093862815
PEP,Regresion Logistica,validacion,427,-0.02213408401983974,-0.013122611051924138,0.12941480503353195,-0.037316844143737773,-0.03270845221525633,-0.15271230155687088,-0.08593028143863844,0.5901639344262295,85.0,0.4880952380952381
PEP,SVM,validacion,427,-0.07692583760751748,-0.04614163633232804,0.13317003778730002,-0.288107358311398,-0.27136574927573853,-0.13791992940840359,-0.334553798934272,0.6229508196721312,123.0,0.4849624060150376
SPY,Comprar y mantener,prueba,427,0.3378471150679121,0.18740958248000528,0.17337028779163108,1.076921675851737,1.063440351925787,-0.18755221196416583,0.9992395211836381,1.0,1.0,0.5644028103044496
SPY,MLP,prueba,427,0.1104141959349012,0.0637598872082017,0.10555916605007977,0.6385171934390227,0.5941789642890842,-0.16576632977045203,0.38463714130906057,0.5362997658079626,199.0,0.5720524017467249
SPY,Random Forest,prueba,427,0.040994321738886175,0.02399395566834084,0.14830834635711965,0.232961104041173,0.23234594831146485,-0.19037935939962214,0.12603233745510997,0.5620608899297423,146.0,0.5291666666666667
SPY,Regresion Logistica,prueba,427,0.12013681439959667,0.06924692288805234,0.13931865342699495,0.548946708022454,0.6077331981434733,-0.10899261957466178,0.6353358893316353,0.5245901639344263,176.0,0.53125
SPY,SVM,prueba,427,0.20117381800529577,0.11424451770875743,0.14059717441520642,0.8384446925836415,0.9093951920377905,-0.16055083092417155,0.711578489199569,0.5807962529274004,148.0,0.5564516129032258
SPY,Comprar y mantener,validacion,427,0.5384968339431064,0.28948908278889474,0.1237574928951496,2.117164404980801,2.098256731519424,-0.09974314636021098,2.902345608222925,1.0,1.0,0.5784543325526932
SPY,MLP,validacion,427,0.10910014758178743,0.06301678598295513,0.09592464366324333,0.6850430057717599,0.6808268786033861,-0.13775091883634238,0.45746907908341017,0.5761124121779859,181.0,0.5487804878048781
SPY,Random Forest,validacion,427,0.29635930185159176,0.16553805706433344,0.10254779506399794,1.5453626296835061,1.5962785291519237,-0.06352200680843001,2.6059953924875825,0.5807962529274004,162.0,0.5645161290322581
SPY,Regresion Logistica,validacion,427,0.04829934355186705,0.02822863288391053,0.10105515928324064,0.3259364214838308,0.3098834540552783,-0.10385729305032221,0.2718021243845904,0.5737704918032787,163.0,0.5510204081632653
SPY,SVM,validacion,427,0.2177258786924101,0.12328057984471719,0.10490410995863735,1.1607555699534664,1.2276325137468436,-0.06370117084316662,1.9352953519211773,0.6533957845433255,165.0,0.5483870967741935
TLT,Comprar y mantener,prueba,427,-0.007373727124165841,-0.0043583061708906135,0.11297941707096672,0.017747118295973422,0.017418377194032927,-0.09437599252002649,-0.04618024197166229,1.0,1.0,0.5035128805620609
TLT,MLP,prueba,427,-0.15727088600884698,-0.09605140006918966,0.08723997850396822,-1.1136701354193315,-1.0237963240805639,-0.19677354418287296,-0.4881316767864057,0.522248243559719,188.0,0.47533632286995514
TLT,Random Forest,prueba,427,-0.07715488879605747,-0.04628132931737716,0.09035743173657282,-0.47930801011061885,-0.47500583098247834,-0.1262292509874211,-0.3666450442773296,0.6487119437939111,144.0,0.48375451263537905
TLT,Regresion Logistica,prueba,427,-0.05667538802492178,-0.03384693978053799,0.08296932350875741,-0.37357743350785627,-0.3532880133916244,-0.06669545170573699,-0.5074849770846751,0.6159250585480094,136.0,0.5019011406844106
TLT,SVM,prueba,427,-0.13490083888206417,-0.08196643826334904,0.09591057743129262,-0.8435696183900931,-0.7791273073769556,-0.1504864862297901,-0.5446764046187362,0.6557377049180327,134.0,0.4857142857142857
TLT,Comprar y mantener,validacion,427,-0.059772819326553206,-0.035720431106659345,0.16384677970109549,-0.1402228616313309,-0.13748478908230644,-0.22444176958097406,-0.15915233235483886,1.0,1.0,0.5011709601873536
TLT,MLP,validacion,427,-0.28584477855623724,-0.18018912525139563,0.11123127791524269,-1.729866335492383,-1.5033219967815636,-0.32166871833161803,-0.5601698734834178,0.49882903981264637,177.0,0.460093896713615
TLT,Random Forest,validacion,427,-0.08137302274072722,-0.04885641665149221,0.10034285724843235,-0.4490838691948132,-0.3896354550639205,-0.13990048251488862,-0.34922264579246726,0.43559718969555034,144.0,0.4946236559139785
TLT,Regresion Logistica,validacion,427,-0.1599031645662703,-0.09771879526801908,0.09283438068784018,-1.0610762627191084,-0.8513082887112468,-0.18950290454205299,-0.5156585620899236,0.4426229508196721,104.0,0.4497354497354497
TLT,SVM,validacion,427,-0.10096231374537967,-0.060879368016558466,0.10948397479614023,-0.5190309358659764,-0.4810790460621082,-0.15488242596988822,-0.39306827508238057,0.5456674473067916,132.0,0.47639484978540775
