Price,Close,High,Low,Open,Volume
Ticker,TLT,TLT,TLT,TLT,TLT
Date,,,,,
2015-01-02,92.28752136230469,92.53397222210133,91.43945168535521,91.54092982464094,9432000
2015-01-05,93.73719024658203,93.96189097717374,92.75139266008495,92.78763168074767,9789500
2015-01-06,95.42611694335938,96.03499691734223,94.36784636388529,94.73751440570886,18331300
2015-01-07,95.23762512207031,95.65803761322414,94.35331109934762,94.73747903672724,9762900
2015-01-08,93.97637939453125,94.49826995424348,93.8096677341544,94.49102546823892,8055300
2015-01-09,95.0057144165039,95.03470343388844,93.5342646325208,93.65024282263683,9398800
2015-01-12,95.54935455322266,95.90452257044755,94.89698549617309,94.95497459415235,6658100
2015-01-13,95.54935455322266,96.12197892279741,95.05645275054368,95.23766453412031,8260800
2015-01-14,96.274169921875,97.21646203733263,96.18718077346341,96.92652770338965,12324500
2015-01-15,97.78912353515625,97.87610164663604,96.17270656156421,96.29594029987906,11454200
2015-01-16,96.54242706298828,97.62244261137747,96.42644882441289,97.36875265732411,9390500
2015-01-20,97.82535552978516,97.93407815516254,97.18024214520865,97.2237311953596,7758700
2015-01-21,96.69458770751953,98.28200444544353,96.37566431047068,97.99931455103841,9803900
2015-01-22,96.3466567993164,97.25995998914077,95.88275518634876,97.12949284500309,10200000
2015-01-23,97.6875991821289,97.94128890738811,97.23818667803258,97.34692032624392,7334600
2015-01-26,97.39046478271484,97.99208925227214,97.16576393293957,97.73838832235752,5966500
2015-01-27,97.54267883300781,98.67343853098103,97.23823332020987,98.38349305695654,8079600
2015-01-28,99.13738250732422,99.60128440331039,97.63694307262752,97.67318765487359,12230300
2015-01-29,98.48495483398438,99.06483462533538,98.18777598041459,98.66616657751362,8881400
2015-01-30,100.2318344116211,100.3913016239333,99.43449835006004,99.81867740538426,14871200
2015-02-02,99.85346984863281,100.1730492193171,99.25789917998243,99.28694681247528,13689900
2015-02-03,97.73987579345703,98.62596682338433,97.59460443127816,98.52428351944847,14008700
2015-02-04,97.90690612792969,98.04490724642889,96.6866956277786,96.95543873109432,11360400
2015-02-05,96.83197784423828,97.49291372833659,96.67944735858599,97.3258649736874,8334600
2015-02-06,95.11788940429688,96.1274633309804,94.84914624442916,95.90956736553197,13685600
2015-02-09,94.96534729003906,95.85870844821123,94.96534729003906,95.85144931388872,8025500
2015-02-10,94.2099380493164,94.76193120096875,94.01383069857276,94.5222469017581,8290700
2015-02-11,94.38428497314453,94.61671023818387,93.66524286005317,94.20270689082504,6506400
2015-02-12,94.07198333740234,94.81281399161254,94.0211361507118,94.17366662813595,12548300
2015-02-13,93.10598754882812,94.07924349683505,93.03335187637786,94.06471414581547,8325200
2015-02-17,91.70425415039062,92.91719517624621,91.45730492101855,92.82277650869834,14968800
2015-02-18,92.24893188476562,92.77913678999577,91.85672255608014,92.11093076689757,14009200
2015-02-19,91.63883972167969,92.56851876330785,91.63883972167969,92.08189075578751,8584800
2015-02-20,91.9075927734375,92.97526759082383,91.5153833228093,92.27801373369608,12502500
2015-02-23,92.96073150634766,93.09146797263244,92.35789636750752,92.37968485500092,7500500
2015-02-24,94.18092346191406,94.26807739965774,92.37240721652577,92.71377491621814,11958300
2015-02-25,94.58769226074219,94.70390494329389,93.75243715553609,94.02843950593352,8019800
2015-02-26,93.29479217529297,94.63847406747752,93.25847435176078,94.20268235037881,11020500
2015-02-27,94.07926177978516,94.14462724810465,93.16411197536273,93.70884637665817,9225100
2015-03-02,92.3268051147461,93.92780920943929,92.25402791107554,93.87686294602145,11324000
2015-03-03,91.99217224121094,92.69079101007254,91.97033572007565,92.34147884957753,8599000
2015-03-04,92.021240234375,92.45060281344256,91.81020391572245,92.37783109472171,6478900
2015-03-05,91.90476989746094,92.33412675296093,91.62095642128743,92.07942306307754,6045000
2015-03-06,89.87445068359375,90.84233071577363,89.48875554875747,90.72589151545424,20022900
2015-03-09,90.70405578613281,90.87143573976297,90.33291279477993,90.73316558468268,8889100
2015-03-10,91.8974838256836,92.01392296167411,91.51906773796155,91.67188993985643,9277900
2015-03-11,92.56703186035156,92.75624276133922,91.7810895641835,91.88297107576318,6663100
2015-03-12,92.50152587890625,93.29474689985786,92.21771234369189,93.29474689985786,10295900
2015-03-13,92.21773529052734,92.85085538718135,92.05035533092102,92.24684509011657,7247200
2015-03-16,93.10553741455078,93.25835410131353,92.61795535471875,93.10553741455078,6374600
2015-03-17,93.87693786621094,93.95698841243744,93.3529726735013,93.54946239683018,6314000
2015-03-18,95.68897247314453,95.71807671145923,93.59311197849809,94.53916073534542,13981900
2015-03-19,95.20140838623047,95.78358206241492,94.80115565566534,95.47793755114276,9543800
2015-03-20,95.70353698730469,95.84180712979075,95.4342810914645,95.49250068326135,5953800
2015-03-23,95.58712768554688,95.87821459746189,95.32514502312179,95.84182595740903,5555500
2015-03-24,96.5112533569336,96.52581102153003,95.68164414284871,95.93635330418611,6713000
2015-03-25,95.69629669189453,96.61323059422404,95.66719243808883,96.58412634041834,5635800
2015-03-26,94.20437622070312,95.43423817170645,94.00788657478775,95.36874532448358,9536300
2015-03-27,95.3760757446289,95.42702205915468,94.59012779436317,94.62651643270252,7907900
2015-03-30,94.9030532836914,95.33241032931417,94.67017489025012,95.25963305530053,7010600
2015-03-31,95.10681915283203,95.30330891510705,94.53919193226267,94.77934361854253,6844300
2015-04-01,96.35600280761719,96.6112341522843,95.75072273641486,95.77259939088647,9273900
2015-04-02,95.3350601196289,96.23933612439407,95.24755348698912,96.21015982851647,6663400
2015-04-06,94.80272674560547,95.88201621131739,94.5985371474302,95.84555139860782,5923800
2015-04-07,95.59758758544922,95.69239385227654,94.69332274185105,94.97043077739109,4764900
2015-04-08,95.62673950195312,95.79446420800798,94.81727000404564,95.54652140297155,5378900
2015-04-09,94.38703918457031,95.47362818887315,94.168272583534,95.4371633795346,6484200
2015-04-10,94.52558135986328,95.13086147532127,94.47453953819574,95.03606634151143,4843000
2015-04-13,94.65682220458984,94.78808209911205,94.35782649707787,94.45992123531465,4010600
2015-04-14,95.32772064208984,96.15906659017531,95.1526963428911,95.75797619252648,6075500
2015-04-15,95.24757385253906,95.72888268996302,95.03609573594309,95.56844641082169,4425200
2015-04-16,94.7735595703125,95.42988167522878,94.37246889397552,95.40800501356479,7085500
2015-04-17,95.86014556884766,96.04245851634546,94.583954936363,94.63500790286201,7268800
2015-04-20,95.01419067382812,95.53925274148084,94.75165964000176,95.48821091330463,4949400
2015-04-21,94.58390808105469,95.13084665260376,94.48181332613194,94.9704104480832,4563800
2015-04-22,93.14002227783203,94.47455414193976,93.00875675736654,94.43808933368601,9707600
2015-04-23,93.54108428955078,93.9640514553703,93.05977567387748,93.19833522634347,6843400
2015-04-24,94.12448120117188,94.3870010162574,93.7744325260718,93.8108973206647,4773000
2015-04-27,94.12448120117188,94.43805395418603,93.61399633185754,94.12448120117188,4334900
2015-04-28,92.82646179199219,93.88388023457301,92.80458512830943,93.46820136960183,7464300
2015-04-29,91.68881225585938,92.20658025888119,91.36064567563527,91.74714815931715,11554800
2015-04-30,91.8492202758789,92.00965648922497,90.79910194408617,91.18560433237595,12876000
2015-05-01,90.61279296875,91.37277190137894,90.38626277038166,91.14624170301062,12378500
2015-05-04,89.75782775878906,91.00009781493272,89.67744498837375,90.83202880418644,9144700
2015-05-05,89.63359069824219,89.90396400579311,88.92476394300415,89.7797381306931,13935500
2015-05-06,88.0990219116211,89.19514446921492,87.96018351210654,89.14399230620059,14355000
2015-05-07,89.2828598022461,89.56785129628743,88.67633715588362,88.73479837906366,11933700
2015-05-08,89.52399444580078,90.28397350515762,89.37784141025047,90.1597420311478,11716400
2015-05-11,87.34638214111328,88.89557123116819,87.3244605744188,88.8736496644737,13738600
2015-05-12,87.57291412353516,88.15020621671854,86.82755296566515,87.0613923068763,15861700
